Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.0002
Horizontal Delay,0
Sample Interval,2e-07
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,0.54
Vertical Position,-3.58
,
,
,
Label,
TIME,CH1
-1.0000e-03,0.0251438
-9.9980e-04,0.0253125
-9.9960e-04,0.02835
-9.9940e-04,0.0234562
-9.9920e-04,0.0287719
-9.9900e-04,0.0274219
-9.9880e-04,0.0244688
-9.9860e-04,0.0253969
-9.9840e-04,0.0260719
-9.9820e-04,0.0297
-9.9800e-04,0.0244688
-9.9780e-04,0.0280125
-9.9760e-04,0.0264937
-9.9740e-04,0.0299531
-9.9720e-04,0.0278437
-9.9700e-04,0.022275
-9.9680e-04,0.0234562
-9.9660e-04,0.027675
-9.9640e-04,0.030375
-9.9620e-04,0.0274219
-9.9600e-04,0.0246375
-9.9580e-04,0.0265781
-9.9560e-04,0.0266625
-9.9540e-04,0.0225281
-9.9520e-04,0.0275062
-9.9500e-04,0.0288563
-9.9480e-04,0.0250594
-9.9460e-04,0.027675
-9.9440e-04,0.0254812
-9.9420e-04,0.0294469
-9.9400e-04,0.0266625
-9.9380e-04,0.0264094
-9.9360e-04,0.0284344
-9.9340e-04,0.0274219
-9.9320e-04,0.0278437
-9.9300e-04,0.0250594
-9.9280e-04,0.0234562
-9.9260e-04,0.0270844
-9.9240e-04,0.0243844
-9.9220e-04,0.0305437
-9.9200e-04,0.0311344
-9.9180e-04,0.0320625
-9.9160e-04,0.0251438
-9.9140e-04,0.0292781
-9.9120e-04,0.0308812
-9.9100e-04,0.0292781
-9.9080e-04,0.026325
-9.9060e-04,0.0285187
-9.9040e-04,0.0306281
-9.9020e-04,0.0299531
-9.9000e-04,0.0243
-9.8980e-04,0.0291937
-9.8960e-04,0.0268312
-9.8940e-04,0.0307969
-9.8920e-04,0.0291094
-9.8900e-04,0.027675
-9.8880e-04,0.0292781
-9.8860e-04,0.0323156
-9.8840e-04,0.0304594
-9.8820e-04,0.0291937
-9.8800e-04,0.0320625
-9.8780e-04,0.0315562
-9.8760e-04,0.0299531
-9.8740e-04,0.0285187
-9.8720e-04,0.0285187
-9.8700e-04,0.0321469
-9.8680e-04,0.0281812
-9.8660e-04,0.0266625
-9.8640e-04,0.0285187
-9.8620e-04,0.030375
-9.8600e-04,0.0353531
-9.8580e-04,0.0351844
-9.8560e-04,0.0292781
-9.8540e-04,0.0313875
-9.8520e-04,0.0279281
-9.8500e-04,0.0254812
-9.8480e-04,0.0304594
-9.8460e-04,0.0308812
-9.8440e-04,0.0300375
-9.8420e-04,0.0278437
-9.8400e-04,0.0306281
-9.8380e-04,0.0304594
-9.8360e-04,0.0340875
-9.8340e-04,0.0268312
-9.8320e-04,0.0307125
-9.8300e-04,0.0318937
-9.8280e-04,0.0288563
-9.8260e-04,0.0343406
-9.8240e-04,0.02835
-9.8220e-04,0.0343406
-9.8200e-04,0.0327375
-9.8180e-04,0.03375
-9.8160e-04,0.0351844
-9.8140e-04,0.0329062
-9.8120e-04,0.0277594
-9.8100e-04,0.0312187
-9.8080e-04,0.0248906
-9.8060e-04,0.0301219
-9.8040e-04,0.0332438
-9.8020e-04,0.029025
-9.8000e-04,0.031725
-9.7980e-04,0.0321469
-9.7960e-04,0.0315562
-9.7940e-04,0.0295313
-9.7920e-04,0.029025
-9.7900e-04,0.0339187
-9.7880e-04,0.0351
-9.7860e-04,0.0309656
-9.7840e-04,0.0319781
-9.7820e-04,0.0327375
-9.7800e-04,0.0286031
-9.7780e-04,0.0343406
-9.7760e-04,0.0315562
-9.7740e-04,0.0336656
-9.7720e-04,0.0362812
-9.7700e-04,0.0313875
-9.7680e-04,0.0309656
-9.7660e-04,0.0308812
-9.7640e-04,0.0327375
-9.7620e-04,0.0338344
-9.7600e-04,0.0307969
-9.7580e-04,0.0322312
-9.7560e-04,0.035775
-9.7540e-04,0.0351844
-9.7520e-04,0.0346781
-9.7500e-04,0.0297
-9.7480e-04,0.0329906
-9.7460e-04,0.0329906
-9.7440e-04,0.0326531
-9.7420e-04,0.0307969
-9.7400e-04,0.0366187
-9.7380e-04,0.0295313
-9.7360e-04,0.0328219
-9.7340e-04,0.0325688
-9.7320e-04,0.0379687
-9.7300e-04,0.0342562
-9.7280e-04,0.03375
-9.7260e-04,0.0360281
-9.7240e-04,0.0338344
-9.7220e-04,0.035775
-9.7200e-04,0.0331594
-9.7180e-04,0.0321469
-9.7160e-04,0.0329906
-9.7140e-04,0.0340031
-9.7120e-04,0.031725
-9.7100e-04,0.0307969
-9.7080e-04,0.0353531
-9.7060e-04,0.0346781
-9.7040e-04,0.0351844
-9.7020e-04,0.0346781
-9.7000e-04,0.0382219
-9.6980e-04,0.0341719
-9.6960e-04,0.037125
-9.6940e-04,0.0367875
-9.6920e-04,0.0316406
-9.6900e-04,0.0348469
-9.6880e-04,0.0326531
-9.6860e-04,0.0412594
-9.6840e-04,0.0305437
-9.6820e-04,0.0347625
-9.6800e-04,0.0334969
-9.6780e-04,0.0345937
-9.6760e-04,0.0362812
-9.6740e-04,0.0374625
-9.6720e-04,0.0386437
-9.6700e-04,0.0381375
-9.6680e-04,0.0343406
-9.6660e-04,0.0373781
-9.6640e-04,0.03645
-9.6620e-04,0.0353531
-9.6600e-04,0.0380531
-9.6580e-04,0.0378844
-9.6560e-04,0.0309656
-9.6540e-04,0.0379687
-9.6520e-04,0.0351
-9.6500e-04,0.0377156
-9.6480e-04,0.0345094
-9.6460e-04,0.034425
-9.6440e-04,0.0362812
-9.6420e-04,0.0322312
-9.6400e-04,0.0378
-9.6380e-04,0.0376313
-9.6360e-04,0.0374625
-9.6340e-04,0.0383062
-9.6320e-04,0.0345094
-9.6300e-04,0.0338344
-9.6280e-04,0.0354375
-9.6260e-04,0.0372937
-9.6240e-04,0.0361969
-9.6220e-04,0.0360281
-9.6200e-04,0.0393187
-9.6180e-04,0.0334969
-9.6160e-04,0.0380531
-9.6140e-04,0.0415969
-9.6120e-04,0.0375469
-9.6100e-04,0.0383062
-9.6080e-04,0.0390656
-9.6060e-04,0.0356906
-9.6040e-04,0.0372937
-9.6020e-04,0.0388125
-9.6000e-04,0.0376313
-9.5980e-04,0.0366187
-9.5960e-04,0.0361969
-9.5940e-04,0.0356062
-9.5920e-04,0.0409219
-9.5900e-04,0.0351
-9.5880e-04,0.0379687
-9.5860e-04,0.0388969
-9.5840e-04,0.03645
-9.5820e-04,0.0372094
-9.5800e-04,0.0404156
-9.5780e-04,0.04185
-9.5760e-04,0.0402469
-9.5740e-04,0.0394875
-9.5720e-04,0.0372937
-9.5700e-04,0.0383906
-9.5680e-04,0.0367875
-9.5660e-04,0.0426937
-9.5640e-04,0.0366187
-9.5620e-04,0.0415969
-9.5600e-04,0.0410906
-9.5580e-04,0.0417656
-9.5560e-04,0.0440437
-9.5540e-04,0.0408375
-9.5520e-04,0.0412594
-9.5500e-04,0.0421031
-9.5480e-04,0.0393187
-9.5460e-04,0.0385594
-9.5440e-04,0.0416812
-9.5420e-04,0.0429469
-9.5400e-04,0.0410062
-9.5380e-04,0.03645
-9.5360e-04,0.0361125
-9.5340e-04,0.0421031
-9.5320e-04,0.038475
-9.5300e-04,0.0390656
-9.5280e-04,0.0421031
-9.5260e-04,0.0388969
-9.5240e-04,0.0385594
-9.5220e-04,0.0399094
-9.5200e-04,0.039825
-9.5180e-04,0.0435375
-9.5160e-04,0.0427781
-9.5140e-04,0.0419344
-9.5120e-04,0.0432844
-9.5100e-04,0.0430312
-9.5080e-04,0.0446344
-9.5060e-04,0.0374625
-9.5040e-04,0.0419344
-9.5020e-04,0.0423562
-9.5000e-04,0.0428625
-9.4980e-04,0.0435375
-9.4960e-04,0.0390656
-9.4940e-04,0.045225
-9.4920e-04,0.0399937
-9.4900e-04,0.0399094
-9.4880e-04,0.0459844
-9.4860e-04,0.0416812
-9.4840e-04,0.0409219
-9.4820e-04,0.0429469
-9.4800e-04,0.0454781
-9.4780e-04,0.0420187
-9.4760e-04,0.0468281
-9.4740e-04,0.0442969
-9.4720e-04,0.042525
-9.4700e-04,0.0441281
-9.4680e-04,0.0436219
-9.4660e-04,0.043875
-9.4640e-04,0.0381375
-9.4620e-04,0.0456469
-9.4600e-04,0.0427781
